EID_100001, De Villiers, Fabienne, (024) 777 486 820, fabienne.devilliers@heig-vd.ch, FEMALE, HEG, Professeur
EID_100002, Jones, Luc, (024) 777 697 854, luc.jones@heig-vd.ch, MALE, TIC, Administratif
EID_100003, Simpson, Evelyne, (024) 777 629 578, evelyne.simpson@heig-vd.ch, FEMALE, TIN, Professeur
EID_100004, Smith, Bernadette, (024) 777 128 105, bernadette.smith@heig-vd.ch, FEMALE, COMEM, Professeur
EID_100005, Dupond, Julie, (024) 777 761 514, julie.dupond@heig-vd.ch, FEMALE, TIC, Etudiant
EID_100006, De Villiers, Julie, (024) 777 516 527, julie.devilliers@heig-vd.ch, FEMALE, HEG, Administratif
EID_100007, Belmondo, Edgar, (024) 777 377 687, edgar.belmondo@heig-vd.ch, MALE, HEG, Professeur
EID_100008, Bauer, Bryan, (024) 777 461 433, bryan.bauer@heig-vd.ch, MALE, HEG, Administratif
EID_100009, Clément, Lucien, (024) 777 287 130, lucien.clement@heig-vd.ch, MALE, EC, Professeur
EID_100010, Durant, Julie, (024) 777 797 850, julie.durant@heig-vd.ch, FEMALE, TIC, Professeur
EID_100011, Clément, Emma, (024) 777 838 653, emma.clement@heig-vd.ch, FEMALE, COMEM, Administratif
EID_100012, Dupont, Guillaume, (024) 777 608 779, guillaume.dupont@heig-vd.ch, MALE, TIC, Etudiant
EID_100013, Marchand, Didier, (024) 777 263 735, didier.marchand@heig-vd.ch, MALE, HEG, Etudiant
EID_100014, Smith, Amélie, (024) 777 503 604, amelie.smith@heig-vd.ch, FEMALE, TIN, Administratif
EID_100015, Delon, Bryan, (024) 777 316 223, bryan.delon@heig-vd.ch, MALE, EC, Professeur
EID_100016, Bauer, Christine, (024) 777 890 464, christine.bauer@heig-vd.ch, FEMALE, TIC, Etudiant
EID_100017, Dupond, Albert, (024) 777 114 879, albert.dupond@heig-vd.ch, MALE, TIC, Administratif
EID_100018, Delon, Gontran, (024) 777 509 783, gontran.delon@heig-vd.ch, MALE, EC, Assistant
EID_100019, Marchand, Emil, (024) 777 518 817, emil.marchand@heig-vd.ch, MALE, HEG, Professeur
EID_100020, Smith, Emil, (024) 777 717 557, emil.smith@heig-vd.ch, MALE, TIN, Etudiant
EID_100021, Simpson, Christine, (024) 777 396 834, christine.simpson@heig-vd.ch, FEMALE, DEPG, Assistant
EID_100022, Delon, Georgette, (024) 777 300 132, georgette.delon@heig-vd.ch, FEMALE, TIN, Etudiant
EID_100023, De Decker, Gilles, (024) 777 865 565, gilles.dedecker@heig-vd.ch, MALE, DEPG, Administratif
